broadcast_id,live_name,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text,url
401961,종근당건강 머슬&뷰티-풀(Full)위크,2022-02-08,20:00:06,21:31:57,91,22834,0,,https://view.shoppinglive.naver.com/replays/401961
367718,[최대 65%] 설명절 특집🎁특가 내려온다!,2022-01-22,20:00:09,21:31:20,91,132908,0,,https://view.shoppinglive.naver.com/replays/367718
375527,종근당건강 26주년 페스타! 구찌백🎀사은품 증정,2022-01-06,20:00:10,21:31:55,91,11067,0,,https://view.shoppinglive.naver.com/replays/375527
349020,[최대 50%🎉2021 연말결산세일],2021-12-27,20:00:08,21:30:30,90,15517,0,,https://view.shoppinglive.naver.com/replays/349020
323711,[UP TO 60%]블랙페스타 슈퍼세일+사은품 증정,2021-12-13,20:00:13,21:30:27,90,110987,0,,https://view.shoppinglive.naver.com/replays/323711
313027,[최대35%]단하루 특가!+라이브 단독 사은품100%,2021-11-16,20:00:07,21:31:42,91,62049,0,,https://view.shoppinglive.naver.com/replays/313027
269632,[락토핏 골드30포 추가증정!] 40%혜택 100%경품,2021-10-14,20:00:08,21:31:25,91,27197,0,,https://view.shoppinglive.naver.com/replays/269632
227685,"""락토핏,프로메가 추석 건강선물세트""~45% 파격세일!",2021-09-12,20:00:04,21:06:53,66,38272,0,,https://view.shoppinglive.naver.com/replays/227685
205228,건강美UP! 올앳미+프로메가 오메가3 ★최대20%혜택,2021-08-19,20:00:53,21:02:20,61,99889,0,,https://view.shoppinglive.naver.com/replays/205228
176850,여름건강 LACTO-5X로 빠르게 챙기자!100%경품,2021-07-09,20:00:05,21:11:08,71,245337,0,,https://view.shoppinglive.naver.com/replays/176850
117242,"5월 가정의달, 건강선물 FESTA!",2021-04-27,19:59:50,21:01:23,61,13334,0,,https://view.shoppinglive.naver.com/replays/117242
54547,온가족 온국민 온택트(새해福 건강선물 할인전!),2021-02-03,20:00:02,21:00:47,60,32555,0,,https://view.shoppinglive.naver.com/replays/54547
7856,"종근당건강과 함께 ""건강美 제대로 채우자!""",2020-08-21,20:00:09,21:00:05,59,25519,0,,https://view.shoppinglive.naver.com/replays/7856
