brand,search_volume_relative,date,cpc_pred,search_volume_abs
비에날씬,0.35828,2019-07-15,93,93.58811321510944
비에날씬,0.33837,2019-07-16,93,88.38732239755662
비에날씬,0.24681,2019-07-17,93,64.47047622703239
비에날씬,0.24681,2019-07-18,93,64.47047622703239
비에날씬,0.19108,2019-07-19,93,49.91296380803593
비에날씬,0.61305,2019-07-20,93,160.1378609091293
비에날씬,0.23885,2019-07-21,93,62.39120476004492
비에날씬,0.36624,2019-07-22,93,95.66738468209692
비에날씬,0.47372,2019-07-23,93,123.74277378659609
비에날씬,0.17914,2019-07-24,93,46.79405660755472
비에날씬,0.19506,2019-07-25,93,50.95259954152967
비에날씬,0.15127,2019-07-26,93,39.513994323014415
비에날씬,0.38216,2019-07-27,93,99.82592761607187
비에날씬,0.27468,2019-07-28,93,71.75053851157269
비에날씬,0.2906,2019-07-29,93,75.90908144554764
비에날씬,0.17117,2019-07-30,93,44.7121729904831
비에날씬,0.29458,2019-07-31,93,76.94871717904137
비에날씬,0.19506,2019-08-01,93,50.95259954152967
비에날씬,0.16321,2019-08-02,93,42.632901523495626
비에날씬,0.09156,2019-08-03,93,23.91684617052423
비에날씬,0.17914,2019-08-04,93,46.79405660755472
비에날씬,0.23487,2019-08-05,93,61.35156902655118
비에날씬,0.15923,2019-08-06,93,41.593265790001894
비에날씬,0.2906,2019-08-07,93,75.90908144554764
비에날씬,0.24681,2019-08-08,93,64.47047622703239
비에날씬,0.21496,2019-08-09,93,56.150778208998354
비에날씬,0.21098,2019-08-10,93,55.111142475504614
비에날씬,0.16321,2019-08-11,93,42.632901523495626
비에날씬,0.23885,2019-08-12,93,62.39120476004492
비에날씬,0.5414,2019-08-13,93,141.42180555615792
비에날씬,0.25477,2019-08-14,93,66.54974769401986
비에날씬,0.15525,2019-08-15,93,40.553630056508155
비에날씬,0.17117,2019-08-16,93,44.7121729904831
비에날씬,0.20302,2019-08-17,93,53.03187100851714
비에날씬,0.15923,2019-08-18,93,41.593265790001894
비에날씬,0.34235,2019-08-19,93,89.42695813105036
비에날씬,0.23089,2019-08-20,93,60.31193329305745
비에날씬,0.21894,2019-08-21,93,57.19041394249208
비에날씬,0.17914,2019-08-22,93,46.79405660755472
비에날씬,0.207,2019-08-23,93,54.071506742010875
비에날씬,0.21098,2019-08-24,93,55.111142475504614
비에날씬,0.16321,2019-08-25,93,42.632901523495626
비에날씬,0.29856,2019-08-26,93,77.9883529125351
비에날씬,0.50955,2019-08-27,93,133.10210753812385
비에날씬,0.44187,2019-08-28,93,115.42307576856206
비에날씬,0.39012,2019-08-29,93,101.90519908305934
비에날씬,0.54936,2019-08-30,93,143.50107702314537
비에날씬,0.25875,2019-08-31,93,67.5893834275136
비에날씬,0.3105,2019-09-01,93,81.10726011301631
비에날씬,0.46178,2019-09-02,93,120.6238665861149
비에날씬,0.33041,2019-09-03,93,86.30805093056914
비에날씬,0.41003,2019-09-04,93,107.10598990061217
비에날씬,0.42993,2019-09-05,93,112.30416856808084
비에날씬,0.32643,2019-09-06,93,85.26841519707541
비에날씬,0.15525,2019-09-07,93,40.553630056508155
비에날씬,0.17117,2019-09-08,93,44.7121729904831
비에날씬,0.30652,2019-09-09,93,80.06762437952258
비에날씬,0.34235,2019-09-10,93,89.42695813105036
비에날씬,0.23487,2019-09-11,93,61.35156902655118
비에날씬,0.27468,2019-09-12,93,71.75053851157269
비에날씬,0.19506,2019-09-13,93,50.95259954152967
비에날씬,2.42834,2019-09-14,93,634.3188535357232
비에날씬,1.57643,2019-09-15,93,411.78717571646473
비에날씬,1.5406,2019-09-16,93,402.427841964937
비에날씬,0.50955,2019-09-17,93,133.10210753812385
비에날씬,0.58519,2019-09-18,93,152.86041077467317
비에날씬,0.48168,2019-09-19,93,125.82204525358357
비에날씬,0.40605,2019-09-20,93,106.06635416711845
비에날씬,0.207,2019-09-21,93,54.071506742010875
비에날씬,0.4578,2019-09-22,93,119.58423085262115
비에날씬,0.33837,2019-09-23,93,88.38732239755662
비에날씬,0.58917,2019-09-24,93,153.9000465081669
비에날씬,0.31449,2019-09-25,93,82.1495079965942
비에날씬,0.2906,2019-09-26,93,75.90908144554764
비에날씬,0.24681,2019-09-27,93,64.47047622703239
비에날씬,0.16719,2019-09-28,93,43.672537256989365
비에날씬,0.29458,2019-09-29,93,76.94871717904137
비에날씬,0.56528,2019-09-30,93,147.65961995712033
비에날씬,0.80414,2019-10-01,93,210.0534368672494
비에날씬,0.98328,2019-10-02,93,256.84749347480414
비에날씬,0.60907,2019-10-03,93,159.09822517563558
비에날씬,3.18073,2019-10-04,93,830.8544137174698
비에날씬,0.7285,2019-10-05,93,190.29513363070012
비에날씬,0.51751,2019-10-06,93,135.18137900511135
비에날씬,2.48407,2019-10-07,93,648.8763659547196
비에날씬,0.70063,2019-10-08,93,183.0150713461598
비에날씬,6.36146,2019-10-09,93,1661.7088274349396
비에날씬,1.11464,2019-10-10,93,291.16069698026575
비에날씬,0.94745,2019-10-11,93,247.48815972327634
비에날씬,2.00636,2019-10-12,93,524.0913442845456
비에날씬,0.71656,2019-10-13,93,187.1762264302189
