date,search_ad_spend_est,live_ad_spend_est,search_ad_spend_lag3,live_ad_spend_lag3,search_ad_spend_7d_sum,live_ad_spend_7d_sum,competitor_event_flag,competitor_event_flag_lag3,month,proxy_sales
2019-05-15,14409.390448474438,0.0,3964.859841685093,0.0,124268.63355648762,0.0,0.0,0.0,5,8010474.974972244
2019-05-16,21275.562776480536,0.0,29882.571182270796,0.0,139548.44204385416,0.0,0.0,0.0,5,12015641.609666215
2019-05-17,8993.752898649931,0.0,43808.53101467065,0.0,144383.96285438916,0.0,0.0,0.0,5,4851432.384141765
2019-05-18,6479.184905188598,0.0,14409.390448474438,0.0,128813.85306742004,0.0,0.0,0.0,5,3384637.881038265
2019-05-19,6672.80008157626,0.0,21275.562776480536,0.0,131521.7933073112,0.0,0.0,0.0,5,3497577.231726458
2019-05-20,6576.113958361343,0.0,8993.752898649931,0.0,108215.33608340175,0.0,0.0,0.0,5,3441178.4091745126
2019-05-21,16343.598772688438,0.0,6479.184905188598,0.0,80750.40384141954,0.0,0.0,0.0,5,9138734.837179769
2019-05-22,11218.019592508686,0.0,6672.80008157626,0.0,77559.03298545378,0.0,0.0,0.0,5,6148888.714005125
2019-05-23,8413.3932294026,0.0,6576.113958361343,0.0,64696.863438375854,0.0,0.0,0.0,5,4512897.743245787
2019-05-24,5125.336250221929,0.0,16343.598772688438,0.0,60828.446789947855,0.0,0.0,0.0,5,2594912.65972672
2019-05-25,4158.232088114928,0.0,11218.019592508686,0.0,58507.49397287418,0.0,0.0,0.0,5,2030782.728622959
2019-05-26,10250.915430401685,0.0,8413.3932294026,0.0,62085.60932169961,0.0,0.0,0.0,5,5584758.782901363
2019-05-27,4448.533387717507,0.0,5125.336250221929,0.0,59958.028751055776,0.0,0.0,0.0,5,2200120.901863098
2019-05-28,5899.068165899094,0.0,4158.232088114928,0.0,49513.49814426643,0.0,0.0,0.0,5,3046244.9457265884
2019-05-29,5028.650127007012,0.0,10250.915430401685,0.0,43324.128678764755,0.0,0.0,0.0,5,2538513.8371747746
2019-05-30,6285.812658758764,0.0,4448.533387717507,0.0,41196.54810812092,0.0,0.0,0.0,5,3271840.235934373
2019-05-31,5028.650127007012,0.0,5899.068165899094,0.0,41099.861984906005,0.0,0.0,0.0,5,2538513.8371747746
2019-06-01,4545.219510932424,0.0,5028.650127007012,0.0,41486.8494077235,0.0,0.0,0.0,6,2256519.724415044
2019-06-02,12088.437631400768,0.0,6285.812658758764,0.0,43324.37160872258,0.0,0.0,0.0,6,6656619.82255694
2019-06-03,9380.497391509602,0.0,5028.650127007012,0.0,48256.335612514675,0.0,0.0,0.0,6,5077027.674349549
2019-06-04,27368.246118767293,0.0,4545.219510932424,0.0,69725.51356538288,0.0,0.0,0.0,6,15569617.66394462
2019-06-05,6285.812658758764,0.0,12088.437631400768,0.0,70982.67609713462,0.0,0.0,0.0,6,3271840.235934373
2019-06-06,3771.487595255259,0.0,9380.497391509602,0.0,68468.35103363112,0.0,0.0,0.0,6,1805187.4384151755
2019-06-07,5318.708496651763,0.0,27368.246118767293,0.0,68758.40940327587,0.0,0.0,0.0,6,2707710.304830612
2019-06-08,5512.323673039426,0.0,6285.812658758764,0.0,69725.51356538286,0.0,0.0,0.0,6,2820649.6555188056
2019-06-09,3094.4418027930096,0.0,3771.487595255259,0.0,60731.51773677511,0.0,0.0,0.0,6,1410253.9749672518
2019-06-10,5899.068165899094,0.0,5318.708496651763,0.0,57250.088511164606,0.0,0.0,0.0,6,3046244.9457265884
2019-06-11,5802.382042684178,0.0,5512.323673039426,0.0,35684.224435081494,0.0,0.0,0.0,6,2989846.123174643
2019-06-12,11218.019592508686,0.0,3094.4418027930096,0.0,40616.431368831414,0.0,0.0,0.0,6,6148888.714005125
2019-06-13,8026.64873654293,0.0,5899.068165899094,0.0,44871.59251011908,0.0,0.0,0.0,6,4287302.453038002
2019-06-14,6189.126535543846,0.0,5802.382042684178,0.0,45742.010549011175,0.0,0.0,0.0,6,3215441.413382427
2019-06-15,3384.743102395589,0.0,11218.019592508686,0.0,43614.429978367334,0.0,0.0,0.0,6,1579592.1482073914
2019-06-16,3674.8014720403407,0.0,8026.64873654293,0.0,44194.78964761466,0.0,0.0,0.0,6,1748788.615863229
2019-06-17,11411.39183893852,0.0,6189.126535543846,0.0,49707.11332065409,0.0,0.0,0.0,6,6261686.359109016
2019-06-18,10250.915430401685,0.0,3384.743102395589,0.0,54155.6467083716,0.0,0.0,0.0,6,5584758.782901363
2019-06-19,20985.504406835786,0.0,3674.8014720403407,0.0,63923.1315226987,0.0,0.0,0.0,6,11846445.14201038
2019-06-20,10637.659923261352,0.0,11411.39183893852,0.0,66534.14270941712,0.0,0.0,0.0,6,5810354.073109147
2019-06-21,17600.761304440195,0.0,10250.915430401685,0.0,77945.77747831347,0.0,0.0,0.0,6,9872061.235939369
2019-06-22,5028.650127007012,0.0,20985.504406835786,0.0,79589.6845029249,0.0,0.0,0.0,6,2538513.8371747746
2019-06-23,5705.69591946926,0.0,10637.659923261352,0.0,81620.57895035381,0.0,0.0,0.0,6,2933447.300622697
2019-06-24,6189.126535543846,0.0,17600.761304440195,0.0,76398.31364695913,0.0,0.0,0.0,6,3215441.413382427
2019-06-25,10927.961222863933,0.0,5028.650127007012,0.0,77075.35943942139,0.0,0.0,0.0,6,5979692.246349286
2019-06-26,6769.486204791178,0.0,5705.69591946926,0.0,62859.34123737678,0.0,0.0,0.0,6,3553976.0542784045
2019-06-27,8800.380652220098,0.0,6189.126535543846,0.0,61022.06196633552,0.0,0.0,0.0,6,4738634.739037873
2019-06-28,6576.113958361343,0.0,10927.961222863933,0.0,49997.41462025667,0.0,0.0,0.0,6,3441178.4091745126
2019-06-29,9380.497391509602,0.0,6769.486204791178,0.0,54349.26188475925,0.0,0.0,0.0,6,5077027.674349549
2019-06-30,8220.020982972765,0.0,8800.380652220098,0.0,56863.58694826276,0.0,0.0,0.0,6,4400100.098141896
2019-07-01,10831.032169691189,0.0,6576.113958361343,0.0,61505.49258241011,0.0,0.0,0.0,7,5923151.718213039
2019-07-02,15956.611349870944,0.0,9380.497391509602,0.0,66534.14270941712,0.0,0.0,0.0,7,8912997.841387682
2019-07-03,15569.866857011277,0.0,8220.020982972765,0.0,75334.52336163721,0.0,0.0,0.0,7,8687402.551179899
2019-07-04,14409.390448474438,0.0,10831.032169691189,0.0,80943.53315789156,0.0,0.0,0.0,7,8010474.974972244
2019-07-05,28432.03640408921,0.0,15956.611349870944,0.0,102799.45560361943,0.0,0.0,0.0,7,16190146.417600328
2019-07-06,8510.079352617518,0.0,15569.866857011277,0.0,101929.03756472735,0.0,0.0,0.0,7,4569296.565797734
2019-07-07,8703.694529005179,0.0,14409.390448474438,0.0,102412.71111075976,0.0,0.0,0.0,7,4682235.916485927
2019-07-08,8413.3932294026,0.0,28432.03640408921,0.0,99995.07217047116,0.0,0.0,0.0,7,4512897.743245787
2019-07-09,21952.608568942785,0.0,8510.079352617518,0.0,105991.069389543,0.0,0.0,0.0,7,12410575.073114142
2019-07-10,11508.077962153437,0.0,8703.694529005179,0.0,101929.28049468517,0.0,0.0,0.0,7,6318085.181660961
2019-07-11,8800.380652220098,0.0,8413.3932294026,0.0,96320.27069843082,0.0,0.0,0.0,7,4738634.739037873
2019-07-12,4738.591757362259,0.0,21952.608568942785,0.0,72626.82605170389,0.0,0.0,0.0,7,2369317.369518936
2019-07-13,6285.812658758764,0.0,11508.077962153437,0.0,70402.55935784512,0.0,0.0,0.0,7,3271840.235934373
2019-07-14,6479.184905188598,0.0,8800.380652220098,0.0,68178.04973402854,0.0,0.0,0.0,7,3384637.881038265
2019-07-15,8703.694529005179,0.0,4738.591757362259,0.0,68468.35103363112,0.0,0.0,0.0,7,4682235.916485927
2019-07-16,8220.020982972765,0.0,6285.812658758764,0.0,54735.7634476611,0.0,0.0,0.0,7,4400100.098141896
2019-07-17,5995.754289114013,0.0,6479.184905188598,0.0,49223.43977462167,0.0,0.0,0.0,7,3102643.7682785355
2019-07-18,5995.754289114013,0.0,8703.694529005179,0.0,46418.813411515584,0.0,0.0,0.0,7,3102643.7682785355
2019-07-19,4641.9056341473415,0.0,8220.020982972765,0.0,46322.127288300675,0.0,0.0,0.0,7,2312918.54696699
2019-07-20,14892.821064549024,0.0,5995.754289114013,0.0,54929.13569409093,0.0,0.0,0.0,7,8292469.087731975
2019-07-21,5802.382042684178,0.0,5995.754289114013,0.0,54252.33283158651,0.0,0.0,0.0,7,2989846.123174643
2019-07-22,8897.066775435014,0.0,4641.9056341473415,0.0,54445.70507801634,0.0,0.0,0.0,7,4795033.561589818
2019-07-23,11508.077962153437,0.0,14892.821064549024,0.0,57733.76205719702,0.0,0.0,0.0,7,6318085.181660961
2019-07-24,4351.8472645025895,0.0,5802.382042684178,0.0,56089.8550325856,0.0,0.0,0.0,7,2143722.079311152
2019-07-25,4738.591757362259,0.0,8897.066775435014,0.0,54832.692500833844,0.0,0.0,0.0,7,2369317.369518936
2019-07-26,3674.8014720403407,0.0,11508.077962153437,0.0,53865.58833872684,0.0,0.0,0.0,7,1748788.615863229
2019-07-27,9283.811268294685,0.0,4351.8472645025895,0.0,48256.5785424725,0.0,0.0,0.0,7,5020628.851797603
2019-07-28,6672.80008157626,0.0,4738.591757362259,0.0,49126.99658136458,0.0,0.0,0.0,7,3497577.231726458
2019-07-29,7059.54457443593,0.0,3674.8014720403407,0.0,47289.4743803655,0.0,0.0,0.0,7,3723172.5219342425
