live_code,live_name,live_url,prod_codes
LL_052,종근당건강 가정의달 선물대첩🎁키링 100% 증정,https://view.shoppinglive.naver.com/replays/1301214?fm=shoppinglive&sn=home,"LP_006,LP_003,LP_005,LP_001,LP_007,LP_004,LP_038,LP_096,LP_002,LP_036,LP_013,LP_111,LP_018,LP_042,LP_009,LP_044,LP_010,LP_012,LP_019,LP_015,LP_020,LP_014,LP_024,LP_086,LP_098"
LL_053,종근당건강 LIVE 단 1시간🔥BIG SALE!🏃,https://view.shoppinglive.naver.com/replays/621747?fm=shoppinglive&sn=home,"LP_057,LP_058,LP_010,LP_053,LP_034,LP_049,LP_073,LP_074,LP_117,LP_118"
LL_054,종근당건강X네이버 가정의달 선물대첩ㅣ100%경품응모!,https://view.shoppinglive.naver.com/replays/495273?fm=shoppinglive&sn=home,"LP_080,LP_072,LP_043,LP_061,LP_042,LP_068,LP_044,LP_018,LP_049,LP_056,LP_053,LP_054,LP_074,LP_078,LP_075,LP_051,LP_081,LP_082,LP_055,LP_119"
LL_055,종근당건강 26주년 페스타! 구찌백🎀사은품 증정,https://view.shoppinglive.naver.com/replays/375527?fm=shoppinglive&sn=home,"LP_034,LP_033,LP_054,LP_043"
LL_056,종근당건강 상반기결산 최대 35%할인🎉,https://view.shoppinglive.naver.com/replays/561293?fm=shoppinglive&sn=home,"LP_080,LP_072,LP_073,LP_034,LP_067,LP_068,LP_049,LP_120,LP_121,LP_069,LP_122,LP_123,LP_053,LP_054,LP_082,LP_043,LP_124,LP_042,LP_044"
LL_057,락토핏 신제품 첫방송 기념 BIG SALE,https://view.shoppinglive.naver.com/replays/532167?fm=shoppinglive&sn=home,"LP_080,LP_057,LP_072,LP_073,LP_049,LP_087,LP_034,LP_125,LP_068,LP_126,LP_071,LP_067,LP_070,LP_069,LP_053,LP_054,LP_127,LP_051,LP_128,LP_055,LP_043,LP_042,LP_044,LP_018"
LL_058,건강美UP! 올앳미+프로메가 오메가3 ★최대20%혜택,https://view.shoppinglive.naver.com/replays/205228?fm=shoppinglive&sn=home,"LP_033,LP_091,LP_129,LP_093,LP_130,LP_049,LP_052,LP_074,LP_078"
LL_059,종근당건강 BIG브랜드데이🔥한정특가🔥,https://view.shoppinglive.naver.com/replays/1603633?fm=shoppinglive&sn=home,"LP_001,LP_039,LP_009,LP_025,LP_026,LP_027,LP_008,LP_028,LP_031,LP_032,LP_012,LP_029,LP_005,LP_010,LP_014,LP_030"
LL_060,종근당건강 설 선물대첩💝BIG SALE🎁,https://view.shoppinglive.naver.com/replays/799276?fm=shoppinglive&sn=home,"LP_057,LP_043,LP_003,LP_042,LP_034,LP_044,LP_010,LP_104,LP_018,LP_131,LP_117,LP_116,LP_058,LP_049,LP_055"
LL_061,여름건강 LACTO-5X로 빠르게 챙기자!100%경품,https://view.shoppinglive.naver.com/replays/176850?fm=shoppinglive&sn=home,"LP_091,LP_033,LP_049,LP_093,LP_052,LP_078"
LL_062,네플스 앱 런칭기념! 종근당건강 혜택플러스 LIVE❤️,https://view.shoppinglive.naver.com/replays/1581561?fm=shoppinglive&sn=home,
LL_063,종근당건강 단 1시간 라이브🎉특가🎉,https://view.shoppinglive.naver.com/replays/1132322?fm=shoppinglive&sn=home,"LP_001,LP_007,LP_005,LP_003,LP_002,LP_012,LP_010,LP_009,LP_014,LP_084"
LL_064,[UP TO 60%]블랙페스타 슈퍼세일+사은품 증정,https://view.shoppinglive.naver.com/replays/323711?fm=shoppinglive&sn=home,"LP_051,LP_034"
LL_065,종근당건강 ✨브랜드데이✨ 라이브중에만 추가 Npay💸,https://view.shoppinglive.naver.com/replays/1683258?fm=shoppinglive&sn=home,"LP_025,LP_064,LP_009,LP_039,LP_108,LP_109,LP_026,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_032,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_086,LP_020,LP_013"
LL_066,[블루밍데이즈] 종근당건강 라이브 전제품💛빅세일💛,https://view.shoppinglive.naver.com/replays/1577667?fm=shoppinglive&sn=home,"LP_001,LP_039,LP_026,LP_025,LP_005,LP_008,LP_028,LP_009,LP_012,LP_029,LP_010,LP_023,LP_030,LP_027,LP_083,LP_031,LP_011"
LL_067,빠른배송WEEK! 파격세일✔오늘주문하면 오늘출발!🚚,https://view.shoppinglive.naver.com/replays/439305?fm=shoppinglive&sn=home,"LP_034,LP_076,LP_049,LP_033,LP_077,LP_055,LP_092,LP_074"
LL_068,종근당건강 더보장데이 라이브특가🩵,https://view.shoppinglive.naver.com/replays/1325590?fm=shoppinglive&sn=home,"LP_001,LP_004,LP_008,LP_007,LP_002,LP_096,LP_003,LP_005,LP_024,LP_014,LP_098,LP_012,LP_010,LP_009,LP_013"
LL_069,락토핏 리뉴얼🎉론칭쇼!🏃,https://view.shoppinglive.naver.com/replays/681066?fm=shoppinglive&sn=home,"LP_057,LP_049,LP_058,LP_034,LP_010,LP_055,LP_053,LP_117,LP_116,LP_118,LP_074,LP_062,LP_132"
LL_070,종근당건강🤍새해맞이 라이브 특가🤍,https://view.shoppinglive.naver.com/replays/1208387?fm=shoppinglive&sn=home,"LP_001,LP_005,LP_003,LP_007,LP_004,LP_002,LP_028,LP_010,LP_009,LP_014,LP_086"
LL_071,[최대 15%적립] 근/육/건/강/ 코어틴 LIVE💪,https://view.shoppinglive.naver.com/replays/671126?fm=shoppinglive&sn=home,"LP_055,LP_133,LP_134,LP_135,LP_136,LP_057,LP_049,LP_058,LP_034,LP_010,LP_053"
LL_072,락토핏 솔루션🎉신상 오픈런 SALE!🏃,https://view.shoppinglive.naver.com/replays/606619?fm=shoppinglive&sn=home,"LP_117,LP_116,LP_118,LP_060,LP_059,LP_137,LP_057,LP_049,LP_087,LP_034,LP_010"
LL_073,종근당건강 라이브특가💥역대최대혜택💥,https://view.shoppinglive.naver.com/replays/1380710?fm=shoppinglive&sn=home,"LP_001,LP_011,LP_003,LP_004,LP_007,LP_002,LP_008,LP_005,LP_010,LP_009,LP_012,LP_013,LP_014,LP_138,LP_015,LP_020,LP_021,LP_022,LP_086,LP_024,LP_016"
LL_074,종근당건강 BIG브랜드데이🔥라이브중 한정특가🔥,https://view.shoppinglive.naver.com/replays/1716517?fm=shoppinglive&sn=home,"LP_025,LP_064,LP_009,LP_039,LP_006,LP_036,LP_017,LP_037,LP_042,LP_044,LP_100,LP_018,LP_026,LP_013,LP_108,LP_109,LP_086,LP_065,LP_027,LP_001,LP_028,LP_008,LP_031,LP_029,LP_005,LP_014,LP_021,LP_022,LP_024,LP_020"
