live_code,date,start_time,end_time,duration_min,viewer_count,promotion_flag,promotion_text,prod_codes_x,prod_codes_y
LL_048,2022-02-16,11:00:07,12:30:56,90,99991,0,,"LP_049,LP_056,LP_034,LP_052,LP_074","LP_049,LP_056,LP_034,LP_052,LP_074"
LL_009,2022-01-22,20:00:09,21:31:20,91,132908,0,,"LP_043,LP_042,LP_034,LP_055,LP_092,LP_018","LP_043,LP_042,LP_034,LP_055,LP_092,LP_018"
LL_046,2022-01-06,20:00:10,21:31:55,91,11067,0,,"LP_034,LP_033,LP_054,LP_043","LP_034,LP_033,LP_054,LP_043"
LL_019,2021-12-27,20:00:08,21:30:30,90,15517,0,,"LP_034,LP_054,LP_033,LP_092,LP_055,LP_042","LP_034,LP_054,LP_033,LP_092,LP_055,LP_042"
LL_015,2021-12-13,20:00:13,21:30:27,90,110987,0,,"LP_051,LP_034","LP_051,LP_034"
LL_013,2021-11-16,20:00:07,21:31:42,91,62049,0,,"LP_033,LP_034","LP_033,LP_034"
LL_073,2021-09-12,20:00:04,21:06:53,66,38272,0,,"LP_043,LP_042,LP_044,LP_018,LP_045,LP_046,LP_047,LP_048,LP_049,LP_050","LP_043,LP_042,LP_044,LP_018,LP_045,LP_046,LP_047,LP_048,LP_049,LP_050"
LL_023,2021-08-19,20:00:53,21:02:20,61,99889,0,,"LP_033,LP_091,LP_129,LP_093,LP_130,LP_049,LP_052,LP_074,LP_078","LP_033,LP_091,LP_129,LP_093,LP_130,LP_049,LP_052,LP_074,LP_078"
LL_033,2021-07-09,20:00:05,21:11:08,71,245337,0,,"LP_091,LP_033,LP_049,LP_093,LP_052,LP_078","LP_091,LP_033,LP_049,LP_093,LP_052,LP_078"
LL_069,2021-04-27,19:59:50,21:01:23,61,13334,0,,"LP_106,LP_043,LP_042,LP_044,LP_045,LP_018,LP_093,LP_049","LP_106,LP_043,LP_042,LP_044,LP_045,LP_018,LP_093,LP_049"
LL_005,2021-02-03,20:00:02,21:00:47,60,32555,0,,"LP_091,LP_042,LP_043,LP_049,LP_018,LP_093,LP_094,LP_052,LP_095,LP_078","LP_091,LP_042,LP_043,LP_049,LP_018,LP_093,LP_094,LP_052,LP_095,LP_078"
LL_043,2020-08-21,20:00:09,21:00:05,59,25519,0,,"LP_087,LP_088,LP_089,LP_090,LP_091,LP_052","LP_087,LP_088,LP_089,LP_090,LP_091,LP_052"
